"Year","Week","GID","Team_fmt","Opp_fmt","h.a","Name","Pos","DK.points","DK.salary"
2018,16,7005,"CAR","ATL","h","Carolina","Def",5,2400
2018,16,7024,"PIT","NO","a","Pittsburgh","Def",5,2200
2018,16,7008,"CLE","CIN","h","Cleveland","Def",4,3000
2018,16,7028,"SEA","KC","h","Seattle","Def",4,2200
2018,16,7031,"WAS","TEN","a","Washington","Def",4,2100
2018,16,7001,"ARI","LA","h","Arizona","Def",3,2000
2018,16,7007,"CIN","CLE","a","Cincinnati","Def",2,2200
2018,16,7011,"DET","MIN","h","Detroit","Def",2,2100
2018,16,7020,"NYG","IND","a","New York G","Def",2,2100
2018,16,7013,"IND","NYG","h","Indianapolis","Def",2,3300
2018,16,7010,"DEN","OAK","a","Denver","Def",1,3000
2018,16,7029,"TB","DAL","a","Tampa Bay","Def",1,2300
2018,16,7015,"KC","SEA","a","Kansas City","Def",-1,2300
2018,16,7012,"GB","NYJ","a","Green Bay","Def",-2,2800
2018,17,7015,"KC","OAK","h","Kansas City","Def",24,2600
2018,17,7018,"NE","NYJ","h","New England","Def",23,3100
2018,17,7026,"LAC","DEN","a","LA Chargers","Def",21,3200
2018,17,7004,"BUF","MIA","h","Buffalo","Def",16,2700
2018,17,7023,"PHI","WAS","a","Philadelphia","Def",16,2700
2018,17,7001,"ARI","SEA","a","Arizona","Def",16,2200
2018,17,7025,"LA","SF","h","LA Rams","Def",16,3900
2018,17,7011,"DET","GB","a","Detroit","Def",15,2100
2018,17,7032,"HOU","JAX","h","Houston","Def",14,3300
2018,17,7010,"DEN","LAC","h","Denver","Def",10,2200
2018,17,7007,"CIN","PIT","a","Cincinnati","Def",10,2000
2018,17,7028,"SEA","ARI","h","Seattle","Def",10,3700
2018,17,7030,"TEN","IND","h","Tennessee","Def",10,0
2018,17,7013,"IND","TEN","a","Indianapolis","Def",10,0
2018,17,7014,"JAX","HOU","a","Jacksonville","Def",9,2300
2018,17,7006,"CHI","MIN","a","Chicago","Def",8,2800
2018,17,7024,"PIT","CIN","h","Pittsburgh","Def",8,3500
2018,17,7003,"BAL","CLE","h","Baltimore","Def",6,2900
2018,17,7005,"CAR","NO","a","Carolina","Def",5,2300
2018,17,7016,"MIA","BUF","a","Miami","Def",5,2600
2018,17,7031,"WAS","PHI","h","Washington","Def",5,2200
2018,17,7008,"CLE","BAL","a","Cleveland","Def",4,2400
2018,17,7029,"TB","ATL","h","Tampa Bay","Def",2,2100
2018,17,7002,"ATL","TB","a","Atlanta","Def",2,2600
2018,17,7020,"NYG","DAL","h","New York G","Def",2,2100
2018,17,7022,"OAK","KC","a","Oakland","Def",1,2200
2018,17,7009,"DAL","NYG","a","Dallas","Def",1,3000
2018,17,7019,"NO","CAR","h","New Orleans","Def",0,2700
2018,17,7021,"NYJ","NE","a","New York J","Def",0,2100
2018,17,7012,"GB","DET","h","Green Bay","Def",0,2400
2018,17,7017,"MIN","CHI","h","Minnesota","Def",0,2500
2018,17,7027,"SF","LA","a","San Francisco","Def",-4,2000
